UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W1503,41.93629311,-70.98734776,24.1,4.3,1,3,Summer,2019.0,7.0,1,1,0
W2836,41.94881614,-70.96826996,21.1,7.1,1,2,Summer,2019.0,7.0,1,0,0
W2833,41.98177507,-71.16118832,22.0,6.8,1,2,Summer,2019.0,7.0,1,0,0
W2402,42.00502696,-71.21344675,24.2,7.1,1,2,Summer,2019.0,7.0,1,0,0
W2377,42.06112594,-71.2165861,21.0,7.0,1,2,Summer,2019.0,7.0,1,0,0
W2834,41.96932455,-70.88343597,20.3,1.8,1,3,Summer,2019.0,7.0,1,1,0
W1501,41.99937253,-70.93768479,20.7,7.0,1,2,Summer,2019.0,7.0,1,0,0
W1499,42.02160209,-70.9505329,20.8,5.8,1,2,Summer,2019.0,7.0,1,0,0
W2405,41.99746222,-70.95386851,21.4,6.9,1,2,Summer,2019.0,7.0,1,0,0
W2831,41.99502786,-70.97075555,21.2,6.9,1,2,Summer,2019.0,7.0,1,0,0
W2829,41.99230816,-71.04277391,20.5,1.1,1,3,Summer,2019.0,7.0,1,1,0
W2832,41.9780221,-71.13417172,23.9,5.6,1,2,Summer,2019.0,7.0,1,0,0
W2830,42.01901335,-71.12591191,22.9,7.5,1,2,Summer,2019.0,7.0,1,0,0
W0868,42.05820916,-70.89995609,24.0,3.5,1,3,Summer,2019.0,8.0,1,1,0
W0869,42.04238758,-70.89846196,24.4,3.0,1,3,Summer,2019.0,8.0,1,1,0
W1498,42.03148922,-70.96656207,22.9,5.0,1,2,Summer,2019.0,8.0,1,0,0
W1497,42.04550631,-70.97074029,23.9,6.9,1,2,Summer,2019.0,8.0,1,0,0
W1495,42.03776122,-70.98465422,23.0,6.7,1,2,Summer,2019.0,8.0,1,0,0
W1494,42.05376462,-71.00977821,22.4,6.2,1,2,Summer,2019.0,8.0,1,0,0
W1493,42.07964645,-71.00930657,22.2,6.0,1,2,Summer,2019.0,8.0,1,0,0
W1490,42.07936711,-71.01406198,22.9,7.7,1,2,Summer,2019.0,8.0,1,0,0
W0816,41.81989559,-71.02717559,21.8,1.1,1,3,Summer,2019.0,8.0,1,1,0
W2838,41.83523239,-71.13593516,21.3,7.4,1,2,Summer,2019.0,8.0,1,0,0
W1508,41.88590512,-71.13411655,23.8,6.2,1,2,Summer,2019.0,8.0,1,0,0
W2372,41.90037801,-71.09399859,23.6,7.2,1,2,Summer,2019.0,8.0,1,0,0
W0821,41.93332037,-71.15426672,22.3,6.1,1,2,Summer,2019.0,8.0,1,0,0
W2835,41.946818,-71.16067131,23.3,6.9,1,2,Summer,2019.0,8.0,1,0,0
W0858,41.9471012,-71.1769499,23.5,6.6,1,2,Summer,2019.0,8.0,1,0,0
W2894,41.94672655,-71.20083966,24.3,6.8,1,2,Summer,2019.0,8.0,1,0,0
W1504,41.88611169,-71.02994049,22.1,6.0,1,2,Summer,2019.0,8.0,1,0,0
W0317,41.9074391,-70.91495236,22.1,6.4,1,2,Summer,2019.0,8.0,1,0,0
W0318,41.92174924,-70.92351752,22.2,4.6,1,3,Summer,2019.0,8.0,1,1,0
W1503,41.93629311,-70.98734776,22.6,6.0,1,2,Summer,2019.0,8.0,1,0,0
W2836,41.94881614,-70.96826996,19.3,8.2,1,2,Summer,2019.0,8.0,1,0,0
W2833,41.98177507,-71.16118832,19.8,7.9,1,2,Summer,2019.0,8.0,1,0,0
W2402,42.00502696,-71.21344675,21.4,7.7,1,2,Summer,2019.0,8.0,1,0,0
W2377,42.06112594,-71.2165861,17.9,7.8,1,2,Summer,2019.0,8.0,1,0,0
W2834,41.96932455,-70.88343597,23.2,3.3,1,3,Summer,2019.0,8.0,1,1,0
W1501,41.99937253,-70.93768479,23.0,6.5,1,2,Summer,2019.0,8.0,1,0,0
W1499,42.02160209,-70.9505329,24.3,5.6,1,2,Summer,2019.0,8.0,1,0,0
W2405,41.99746222,-70.95386851,23.6,5.3,1,2,Summer,2019.0,8.0,1,0,0
W2831,41.99502786,-70.97075555,24.2,6.1,1,2,Summer,2019.0,8.0,1,0,0
W2829,41.99230816,-71.04277391,23.4,0.8,1,3,Summer,2019.0,8.0,1,1,0
W2832,41.9780221,-71.13417172,24.5,4.6,1,3,Summer,2019.0,8.0,1,1,0
W2830,42.01901335,-71.12591191,22.8,6.6,1,2,Summer,2019.0,8.0,1,0,0
W0868,42.05820916,-70.89995609,19.4,4.6,1,3,Summer,2019.0,8.0,1,1,0
W0869,42.04238758,-70.89846196,19.5,4.0,1,3,Summer,2019.0,8.0,1,1,0
W1498,42.03148922,-70.96656207,20.1,7.5,1,2,Summer,2019.0,8.0,1,0,0
W1497,42.04550631,-70.97074029,19.4,7.4,1,2,Summer,2019.0,8.0,1,0,0
W1495,42.03776122,-70.98465422,21.8,6.5,1,2,Summer,2019.0,8.0,1,0,0
W1494,42.05376462,-71.00977821,21.4,6.6,1,2,Summer,2019.0,8.0,1,0,0
W1493,42.07964645,-71.00930657,21.6,5.8,1,2,Summer,2019.0,8.0,1,0,0
W1490,42.07936711,-71.01406198,21.6,7.9,1,2,Summer,2019.0,8.0,1,0,0
W2838,41.83523239,-71.13593516,17.1,7.2,1,1,Fall,2019.0,9.0,0,0,0
W1508,41.88590512,-71.13411655,21.3,7.5,1,1,Fall,2019.0,9.0,0,0,0
W2372,41.90037801,-71.09399859,20.6,8.5,1,1,Fall,2019.0,9.0,0,0,0
W0821,41.93332037,-71.15426672,21.0,7.6,1,1,Fall,2019.0,9.0,0,0,0
W2835,41.946818,-71.16067131,21.0,8.1,1,1,Fall,2019.0,9.0,0,0,0
W0858,41.9471012,-71.1769499,20.3,8.3,1,1,Fall,2019.0,9.0,0,0,0
W2894,41.94672655,-71.20083966,21.1,7.8,1,1,Fall,2019.0,9.0,0,0,0
W1504,41.88611169,-71.02994049,19.6,6.6,1,1,Fall,2019.0,9.0,0,0,0
W0317,41.9074391,-70.91495236,20.8,7.0,1,1,Fall,2019.0,9.0,0,0,0
